Row ID	Order ID	Order Date	Ship Date	Customer Name	Segment	Postal Code	 Sales 	Quantity	Profit					Order	Date	
1	CA-2017-163139	12/1/2017	"Sunday, December 3, 2017"	Craig Carreira	1	10009	 $223 	3.01	7	10009	10009	3	1	2017	2017	TRUE
2	CA-2017-163139	12/1/2017	"Sunday, December 3, 2017"	Craig Carreira	1	10009	 $19 	5.01	6	10009	10009	5	1	2017	2017	TRUE
3	US-2018-155299	8/6/2017	"Monday, June 12, 2017"	Dorris Liebe	2	77506	 $2 	2.01	-4	77506	77506	2	0	2018	2017	FALSE
4	US-2014-106992	9/19/2014	"Sunday, September 21, 2014"	Sean Braxton	2	77036	" $3,061 "	3.01	-510	77036	77036	3	1	2014	2014	TRUE
5	US-2014-106992	9/19/2014	"Sunday, September 21, 2014"	Sean Braxton	2	77036	" $2,520 "	7.01	-252	77036	77036	7	1	2014	2014	TRUE
6	CA-2017-125318	6/6/2016	"Monday, June 13, 2016"	Roy Collins	1	60610	 $328 	4.01	29	60610	60610	4	0	2017	2016	FALSE
7	CA-2015-155040	11/10/2015	"Sunday, November 15, 2015"	Alan Hwang	3	00513	 $80 	2.01	35	00513	00513	2	1	2015	2015	TRUE
8	CA-2017-136826	6/16/2017	"Tuesday, June 20, 2017"	Claudia Bergmann	2	27514	 $14 	3.01	5	27514	27514	3	1	2017	2017	TRUE
9	CA-2016-111010	1/22/2016	"Thursday, January 28, 2016"	Paul Gonzalez	1	07960	 $8 	6.01	0	07960	07960	6	1	2016	2016	TRUE
10	US-2017-145366	12/9/2017	"Wednesday, December 13, 2017"	Christine Abelman	2	05231	 $37 	1.01	-7	05231	05231	1	1	2017	2017	TRUE
11	US-2017-145366	12/9/2017	"Wednesday, December 13, 2017"	Christine Abelman	2	05231	 $59 	3.01	22	05231	05231	3	1	2017	2017	TRUE
12	CA-2017-163979	12/28/2017	"Tuesday, January 2, 2018"	Kristen Hastings	2	94110	 $726 	4.01	210	94110	94110	4	1	2017	2017	TRUE
13	US-2014-135972	9/21/2014	"Tuesday, September 23, 2014"	Jack Garza	1	98198	 $246 	2.01	28	98198	98198	2	1	2014	2014	TRUE
14	US-2014-135972	9/21/2014	"Tuesday, September 23, 2014"	Jack Garza	1	98198	" $1,801 "	3.01	702	98198	98198	3	1	2014	2014	TRUE
15	US-2014-134971	7/6/2014	"Tuesday, June 10, 2014"	Bart Pistole	2	61604	 $13 	3.01	-21	61604	61604	3	1	2014	2014	TRUE
16	CA-2017-102946	6/30/2017	"Wednesday, July 5, 2017"	Victor Preis	3	89115	 $76 	3.01	26	89115	89115	3	1	2017	2017	TRUE
17	CA-2017-165603	10/17/2017	"Thursday, October 19, 2017"	Saphhira Shifley	2	02886	 $51 	2.01	9	02886	02886	2	1	2017	2017	TRUE
18	CA-2017-165603	10/17/2017	"Thursday, October 19, 2017"	Saphhira Shifley	2	02886	 $14 	2.01	6	02886	02886	2	1	2017	2017	TRUE
																
																
		Ana	TRUE	FALSE												
		ana														
		ANA														
