Row ID	Order ID	Order Date	Ship Date	Customer Name	Segment	Postal Code	 Sales 	Quantity	Profit
1	US-2018-155299	6/8/2017	6/12/2017	Dorris Liebe	2	77506	$2 	2	-4
2	US-2014-106992	9/19/2014	9/21/2014	Sean Braxton	2	77036	"$3,061 "	3	-510
3	US-2014-106992	9/19/2014	9/21/2014	Sean Braxton	2	77036	"$2,520 "	7	-252
4	CA-2017-125318	6/6/2016	6/13/2016	Roy Collins	1	60610	$328 	4	29
5	CA-2015-155040	11/10/2015	11/15/2015	Alan Hwang	3	513	$80 	2	35
6	CA-2017-136826	6/16/2017	6/20/2017	Claudia Bergmann	2	27514	$14 	3	5
7	CA-2016-111010	22/01/2016	1/28/2016	Paul Gonzalez	1	7960	$8 	6	0
8	US-2017-145366	9/12/2017	12/13/2017	Christine Abelman	2	5231	$37 	1	-7
9	US-2017-145366	9/12/2017	12/13/2017	Christine Abelman	2	5231	$59 	3	22
10	CA-2017-163979	28/12/2017	1/2/2018	Kristen Hastings	2	94110	$726 	4	210
11	US-2014-135972	9/21/2014	9/23/2014	Jack Garza	1	98198	$246 	2	28
12	US-2014-135972	9/21/2014	9/23/2014	Jack Garza	1	98198	"$1,801 "	3	702
13	US-2014-134971	6/7/2014	6/10/2014	Bart Pistole	2	61604	$13 	3	-21
14	CA-2017-102946	6/30/2017	7/5/2017	Victor Preis	3	89115	$76 	3	26
15	CA-2017-165603	10/17/2017	10/19/2017	Saphhira Shifley	2	2886	$51 	2	9
16	CA-2017-165603	10/17/2017	10/19/2017	Saphhira Shifley	2	2886	$14 	2	6
